Numéro d'ordre;Indiction;Année;Mois;Jour;Type d’acte;Titre;Prénoms;Nom;Domicile;Rôle;Notes;Lieu mentionné;Transcription;Page;Vue;Notaire;Ville;Releveur;Cote;URL
1;8;1579;12;26;Testament;Testamento di mr Ant. Arbaudo di Utele;Antoine;Arbaudo;Utelle;Partie 1;L’année indiquée sur l’acte est 1580, surement en style de la Nativité;;;1;3;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/3
2;8;1579;12;30;Promesse de restitution;Per mr Gio Anto Ramini promissione de restitutione fatta da mo Cipriano Camosso;Jean Antoine;Ramini;Nice;Partie 1;L’année indiquée sur l’acte est 1580, surement en style de la Nativité;;;2;5;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/5
2;8;1579;12;30;Promesse de restitution;Per mr Gio Anto Ramini promissione de restitutione fatta da mo Cipriano Camosso;Cyprien;Camosso;Lantosque;Partie 2;L’année indiquée sur l’acte est 1580, surement en style de la Nativité;;;2;5;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/5
3;8;1580;1;8;Cession & Quittance;Cessione e quitasa per Honorato de Pila da mo. Isoardo Guardo;Honoré;de Pila;Lantosque;Partie 1;;;;3;6;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/6
3;8;1580;1;8;Cession & Quittance;Cessione e quitasa per Honorato de Pila da mo. Isoardo Guardo;Isoard;Guardo;Lantosque;Partie 2;;;;3;6;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/6
4;8;1580;1;8;Achat;Compra de Gio Cerre da Honorato de Pila et Giaumeta giugali;Jean;Serre;Lantosque;Partie 1;;;;4;6;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/6
4;8;1580;1;8;Achat;Compra de Gio Cerre da Honorato de Pila et Giaumeta giugali;Honoré;de Pila;Lantosque;Partie 2;;;;4;6;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/6
4;8;1580;1;8;Achat;Compra de Gio Cerre da Honorato de Pila et Giaumeta giugali;Jaumette;;;Partie 3;;;;4;6;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/6
5;8;1580;1;8;Réméré;Patto di retrovender per Honorato do Pila et Giaumeta giugali da Gio Cerro minore;Honoré;de Pila;;Partie 1;;;;5;7;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/7
5;8;1580;1;8;Réméré;Patto di retrovender per Honorato do Pila et Giaumeta giugali da Gio Cerro minore;Jaumette;;;Partie 2;;;;5;7;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/7
5;8;1580;1;8;Réméré;Patto di retrovender per Honorato do Pila et Giaumeta giugali da Gio Cerro minore;Jean (Junior);Serre;Lantosque;Partie 3;;;;5;7;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/7
6;8;1580;1;13;Inventaire des biens;Inventario o sia possetione di quelo p Valentina relicta di fu Francesco Bruno;Valentine;;;Partie 1;;;;5;8;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/8
6;8;1580;1;13;Inventaire des biens;Inventario o sia possetione di quelo p Valentina relicta di fu Francesco Bruno;François †;Brun;Lantosque;Partie 2;;;;5;8;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/8
7;8;1580;1;21;Convention & Quittance;Conventione p mr. Pierono & Fulcone Bovis & p Gaspar Thaone & quitansa  p esso;Gaspard;Thaon;;Partie 1;;;;6;9;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/9
7;8;1580;1;21;Convention & Quittance;Conventione p mr. Pierono & Fulcone Bovis & p Gaspar Thaone & quitansa  p esso;Pieron;Bovis;Utelle;Partie 2;;;;6;9;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/9
7;8;1580;1;21;Convention & Quittance;Conventione p mr. Pierono & Fulcone Bovis & p Gaspar Thaone & quitansa  p esso;Foulques;Bovis;Utelle;Partie 3;;;;6;9;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/9
8;8;1580;1;25;Permutation;Permutatione per Pietro Armen & Isoardo Gaglio;Pierre Armand;Gaglio;Lantosque;Partie 1;;;;7;10;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/10
8;8;1580;1;25;Permutation;Permutatione per Pietro Armen & Isoardo Gaglio;Isoard;Gaglio;Lantosque;Partie 2;;;;7;10;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/10
8;8;1580;1;25;Permutation;Permutatione per Pietro Armen & Isoardo Gaglio;Louisette;;Lantosque;Partie 3;;;;7;10;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/10
9;8;1580;1;25;Achat;Compra p m.o Mannolo Passerone da Mannolo Turrino;Manuel;Passeron;Lantosque;Partie 1;;;;8;11;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/11
9;8;1580;1;25;Achat;Compra p m.o Mannolo Passerone da Mannolo Turrino;Manuel;Torrin;Lantosque;Partie 2;;;;8;11;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/11
10;8;1580;1;26;Inventaire des biens;Perfitione d’inventario & gli beni & heredita di fu Tonone Sicardo Crillier;Tonon †;Sicard;;Partie 1;;;;9;11;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/11
11;8;1580;2;5;Quittance;Quitansa di m.o Gio Caffarelo da Bartholomeo Trabuco pra di restitutione di la dotta di la fu Antorona soa ???;Jean;Caffarelo;Lantosque;Partie 1;;;;10;13;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/13
11;8;1580;2;5;Quittance;Quitansa di m.o Gio Caffarelo da Bartholomeo Trabuco pra di restitutione di la dotta di la fu Antorona soa ???;Barthélemy;Trabuco;Lantosque;Partie 2;;;;10;13;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/13
11;8;1580;2;5;Quittance;Quitansa di m.o Gio Caffarelo da Bartholomeo Trabuco pra di restitutione di la dotta di la fu Antorona soa ???;Antorone †;Trabuco;Lantosque;Partie 3;;;;10;13;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/13
12;8;1580;2;8;Quittance;Quitansa p gli heredi di fu Lud.co Passerone Rabon da Ant.io χρino & Loiseta giugali;Louis †;Passeron Rabon;Lantosque;Partie 1;;;;11;13;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/13
12;8;1580;2;8;Quittance;Quitansa p gli heredi di fu Lud.co Passerone Rabon da Ant.io χρino & Loiseta giugali;Louisette;Passeron Rabon;Lantosque;Partie 2;;;;11;13;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/13
12;8;1580;2;8;Quittance;Quitansa p gli heredi di fu Lud.co Passerone Rabon da Ant.io χρino & Loiseta giugali;Antoine;Christini;Lantosque;Partie 3;;;;11;13;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/13
13;8;1580;2;8;Mandement volontaire;Mandamento volontario p m.o Isoardo Sicardo q.a Gio Moissino;Isoard;Sicard;Lantosque;Partie 1;;;;12;14;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/14
13;8;1580;2;8;Mandement volontaire;Mandamento volontario p m.o Isoardo Sicardo q.a Gio Moissino;Jean;Moissin;;Partie 2;;;;12;14;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/14
14;8;1580;2;8;Quittance;Quitansa p Lud.co Turrino & soto g.m p Antorina soa figliola da m.o Giovenale Auda suo marito;Louis;Torrin;Lantosque;Partie 1;;;;12;15;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/15
14;8;1580;2;8;Quittance;Quitansa p Lud.co Turrino & soto g.m p Antorina soa figliola da m.o Giovenale Auda suo marito;Antorine;Torrin;Lantosque;Partie 2;;;;12;15;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/15
14;8;1580;2;8;Quittance;Quitansa p Lud.co Turrino & soto g.m p Antorina soa figliola da m.o Giovenale Auda suo marito;Juvénal;Auda;Lantosque;Partie 3;;;;12;15;Jean Antoine Auda;Lantosque;evangalli;3 E 113/1;https://archives06.fr/ark:/79346/765900.2436491/dao/0/15
